Repository,Language,Files,Blank,Comment,Code
mohitmishra786/myJourneyOfBuildingOS,make,5,85,60,448
mohitmishra786/resource-grep,Dockerfile,6,40,28,75
mohitmishra786/resource-grep,HTML,1,139,5,925
mohitmishra786/resource-grep,JSON,1,0,0,7
mohitmishra786/resource-grep,Markdown,12,749,1,2806
mohitmishra786/resource-grep,Python,15,371,424,1550
mohitmishra786/resource-grep,Text,3,25,0,2328
mohitmishra786/resource-grep,YAML,1,8,0,129
mohitmishra786/netHex,C,1,261,53,731
mohitmishra786/netHex,Markdown,1,26,0,50
mohitmishra786/netHex,make,1,9,0,25
mohitmishra786/prompt-craft,JSON,5,4,0,543
mohitmishra786/prompt-craft,JavaScript,4,12,5,27
mohitmishra786/prompt-craft,Markdown,14,556,0,2055
mohitmishra786/prompt-craft,TypeScript,10,294,221,1879
mohitmishra786/My-Code-Snippets,C++,10,67,137,350
mohitmishra786/My-Code-Snippets,Markdown,1,1,0,2
mohitmishra786/My-Code-Snippets,Python,1,61,21,222
mohitmishra786/CodeDocGen,Bourne Shell,2,147,132,650
mohitmishra786/CodeDocGen,CMake,1,14,13,54
mohitmishra786/CodeDocGen,JSON,5,3,0,4771
mohitmishra786/CodeDocGen,Java,1,0,43,10
mohitmishra786/CodeDocGen,JavaScript,1,0,33,6
mohitmishra786/CodeDocGen,Markdown,12,575,0,2270
mohitmishra786/CodeDocGen,Python,25,1715,2544,5105
mohitmishra786/CodeDocGen,Text,1,0,0,10
mohitmishra786/CodeDocGen,TypeScript,5,59,30,267
mohitmishra786/CodeDocGen,YAML,2,26,18,149
mohitmishra786/linux-distro-setup-in-mac,Bourne Shell,8,108,84,550
mohitmishra786/linux-distro-setup-in-mac,C,25,135,69,480
mohitmishra786/linux-distro-setup-in-mac,C/C++ Header,2,8,4,16
mohitmishra786/linux-distro-setup-in-mac,JSON,2,1,0,157
mohitmishra786/linux-distro-setup-in-mac,Markdown,5,306,0,826
mohitmishra786/linux-distro-setup-in-mac,TypeScript,9,110,64,602
mohitmishra786/linux-distro-setup-in-mac,YAML,2,19,0,198
mohitmishra786/linux-distro-setup-in-mac,make,1,23,9,87
mohitmishra786/my-portfolio,Markdown,1,0,0,1
mohitmishra786/portfolio,CSS,1,12,1,154
mohitmishra786/portfolio,JSON,4,0,0,8670
mohitmishra786/portfolio,JavaScript,2,3,2,20
mohitmishra786/portfolio,Markdown,2,17,0,41
mohitmishra786/portfolio,SVG,5,0,0,5
mohitmishra786/portfolio,TypeScript,41,223,24,2378
mohitmishra786/amILearningEnough,CSS,1,15,6,58
mohitmishra786/amILearningEnough,HTML,1,5,2,44
mohitmishra786/amILearningEnough,Markdown,67,1721,0,6376
mohitmishra786/amILearningEnough,Text,1,0,0,29
mohitmishra786/amILearningEnough,YAML,3,6,0,128
mohitmishra786/WhyNotNow,CSS,3,62,17,385
mohitmishra786/WhyNotNow,HTML,7,59,4,509
mohitmishra786/WhyNotNow,JSON,3,0,0,1716
mohitmishra786/WhyNotNow,JavaScript,3,70,36,337
mohitmishra786/WhyNotNow,Markdown,1,0,0,1
mohitmishra786/WhyNotNow,SVG,1,0,0,1
mohitmishra786/EddieBot,Bourne Shell,2,2,0,7
mohitmishra786/EddieBot,Dockerfile,1,13,0,18
mohitmishra786/EddieBot,JSON,6,0,0,29107
mohitmishra786/EddieBot,JavaScript,2,0,0,25
mohitmishra786/EddieBot,Markdown,4,93,0,161
mohitmishra786/EddieBot,TypeScript,25,89,13,612
mohitmishra786/EddieBot,YAML,14,21,8,366
mohitmishra786/control,Bourne Again Shell,1,4,6,22
mohitmishra786/control,Bourne Shell,5,78,59,312
mohitmishra786/control,Markdown,2,96,0,208
mohitmishra786/control,Swift,51,2347,1938,8251
mohitmishra786/control,TOML,4,66,77,117
mohitmishra786/control,XML,2,20,28,62
mohitmishra786/control,YAML,3,28,2,116
mohitmishra786/mohit-portfolio,CSS,6,2208,187,23367
mohitmishra786/mohit-portfolio,JSON,10,0,0,6369
mohitmishra786/mohit-portfolio,JSX,16,58,2,890
mohitmishra786/mohit-portfolio,JavaScript,4,19,5,381
mohitmishra786/mohit-portfolio,Markdown,1,26,0,67
mohitmishra786/mohit-portfolio,SVG,4,0,0,4
mohitmishra786/mohit-portfolio,Text,1,0,0,3
mohitmishra786/mohit-portfolio,YAML,1,0,0,10
mohitmishra786/crave-delivery,Bourne Shell,3,11,7,44
mohitmishra786/crave-delivery,Dart,21,390,167,3113
mohitmishra786/crave-delivery,Dockerfile,2,21,21,27
mohitmishra786/crave-delivery,Go,15,609,408,2985
mohitmishra786/crave-delivery,HTML,1,9,14,36
mohitmishra786/crave-delivery,JSON,2,0,0,66
mohitmishra786/crave-delivery,Markdown,5,198,0,512
mohitmishra786/crave-delivery,SQL,3,105,136,197
mohitmishra786/crave-delivery,YAML,3,21,30,115
gutsOfDarkness/crave-delivery,Bourne Shell,3,11,7,44
gutsOfDarkness/crave-delivery,Dart,21,390,167,3113
gutsOfDarkness/crave-delivery,Dockerfile,2,21,21,27
gutsOfDarkness/crave-delivery,Go,15,609,408,2985
gutsOfDarkness/crave-delivery,HTML,1,9,14,36
gutsOfDarkness/crave-delivery,JSON,2,0,0,66
gutsOfDarkness/crave-delivery,Markdown,5,198,0,512
gutsOfDarkness/crave-delivery,SQL,3,105,136,197
gutsOfDarkness/crave-delivery,YAML,3,21,30,115
mohitmishra786/exploring-os,C,5,23,7,98
mohitmishra786/exploring-os,CSS,1,28,8,150
mohitmishra786/exploring-os,HTML,7,13,3,132
mohitmishra786/exploring-os,JavaScript,1,3,0,13
mohitmishra786/exploring-os,Markdown,83,6981,0,23785
mohitmishra786/exploring-os,YAML,1,4,3,22
mohitmishra786/exploring-os,make,1,6,7,8
implement-from-scratch/shell-c,C,4,167,180,728
implement-from-scratch/shell-c,C/C++ Header,1,13,41,24
